BookID,Location,Authors,OriginalTitle,title,language_code,AverageRating,image_url,small_image_url
1,QA7 .F68 1994,,For all practical purposes ,For all practical purposes ,eng,4.34,https://images.gr-assets.com/books/1444323423m/2444252.jpg,https://images.gr-assets.com/books/1444323423s/2444252.jpg
2,QA7 .F68 2003,,For all practical purposes ,For all practical purposes ,eng,4.44,https://images.gr-assets.com/books/1444154222m/3.jpg,https://images.gr-assets.com/books/1444154222s/3.jpg
3,QA71 .B58 1997,"Bittinger, Marvin L.",Graphing calculator manual ,Graphing calculator manual ,en-US,3.57,https://images.gr-assets.com/books/134534443m/41545.jpg,https://images.gr-assets.com/books/134534443s/41545.jpg
4,QA71 .S94 2004,"McLaughlin, Kathleen and Dorothy Wakefield","TI-83, TI-83 Plus and TI-83 Silver Edition Graphing Calculator Manual","TI-83, TI-83 Plus and TI-83 Silver Edition Graphing Calculator Manual",eng,4.25,https://images.gr-assets.com/books/1341445452m/2454.jpg,https://images.gr-assets.com/books/1341445452s/2454.jpg
5,QA73.4 .I48 2003,,COMPUTER PREP,COMPUTER PREP,eng,3.89,https://images.gr-assets.com/books/1442525542m/4441.jpg,https://images.gr-assets.com/books/1442525542s/4441.jpg
6,QA73.73 .C667 1998,,CA-Clipper,CA-Clipper,eng,4.26,https://images.gr-assets.com/books/1342224422m/11542255.jpg,https://images.gr-assets.com/books/1342224422s/11542255.jpg
7,QA74.76.M52 P279 2003,,New perspectives on Microsoft Office XP ,New perspectives on Microsoft Office XP ,en-US,4.25,https://images.gr-assets.com/books/1342544522m/5424.jpg,https://images.gr-assets.com/books/1342544522s/5424.jpg
8,QA75 .C378 2010,"Carter, E. Juanita and Young F. Darroch",Electronic Calculators  A Mastery Approach,Electronic Calculators  A Mastery Approach,eng,3.79,https://images.gr-assets.com/books/1345234322m/554.jpg,https://images.gr-assets.com/books/1345234322s/554.jpg
9,QA75 .L59 1987,Loux W. JOhn and Coffin Chris,An Easy Course In Using The HP-28c,An Easy Course In Using The HP-28c,en-CA,3.85,https://images.gr-assets.com/books/1323342435m/442.jpg,https://images.gr-assets.com/books/1323342435s/442.jpg
10,QA75.5 .N54,,The journal of computer science and its applications ,The journal of computer science and its applications ,eng,4.24,https://images.gr-assets.com/books/1322344351m/1555.jpg,https://images.gr-assets.com/books/1322344351s/1555.jpg
11,QA75.5 .P65 1999,J A van der Poll and K V Renaud,Operating systems and architecture,Operating systems and architecture,eng,4.26,https://images.gr-assets.com/books/1454545454m/44223.jpg,https://images.gr-assets.com/books/1454545454s/44223.jpg
12,QA75.5. I75,,Information systems development informatics and business management,Information systems development informatics and business management,eng,4.24,https://images.gr-assets.com/books/1325554524m/13335234.jpg,https://images.gr-assets.com/books/1325554524s/13335234.jpg
13,QA75.5.A58,,AFRICAN JOURNAL OF COMPUTING AND ICTs,AFRICAN JOURNAL OF COMPUTING AND ICTs,eng,4.14,https://images.gr-assets.com/books/1345442544m/5442.jpg,https://images.gr-assets.com/books/1345442544s/5442.jpg
14,QA75.5.C66,,"Computing, information systems & development informatics journal.","Computing, information systems & development informatics journal.",eng,3.87,https://images.gr-assets.com/books/1424234542m/4413.jpg,https://images.gr-assets.com/books/1424234542s/4413.jpg
15,QA75.5.L438 2001,,Evolutionary multi-criterion optimization,Evolutionary multi-criterion optimization,eng,4.1,https://images.gr-assets.com/books/1355244424m/45555.jpg,https://images.gr-assets.com/books/1355244424s/45555.jpg
16,QA76,"Ertel, Wolfgang ",Introduction to artificial intelligence.,Introduction to artificial intelligence.,eng,4.11,https://images.gr-assets.com/books/1324545544m/2424135.jpg,https://images.gr-assets.com/books/1324545544s/2424135.jpg
17,QA76 .A245 2018,"Achimugu, Philip",Introduction to Computer and its Applications,Introduction to Computer and its Applications,eng,4.3,https://images.gr-assets.com/books/1355243452m/4145225.jpg,https://images.gr-assets.com/books/1355243452s/4145225.jpg
18,QA76 .B265 2000,"Nanda, Bandyo-padhyay",Computing for non-specialists ,Computing for non-specialists ,eng,4.53,https://images.gr-assets.com/books/1444244251m/5.jpg,https://images.gr-assets.com/books/1444244251s/5.jpg
19,QA76 .B743 2007,"Brookshear, J. Glenn.",Computer science ,Computer science ,eng,4.34,https://images.gr-assets.com/books/1245411334m/34.jpg,https://images.gr-assets.com/books/1245411334s/34.jpg
20,QA76 .B743 2013,"Brookshear, J. Glenn.",Computer science ,Computer science ,eng,4.03,https://images.gr-assets.com/books/1355245414m/4242155.jpg,https://images.gr-assets.com/books/1355245414s/4242155.jpg
21,QA76 .C358 1993,"Capron, H. L.",Computers & information systems ,Computers & information systems ,eng,4.46,https://images.gr-assets.com/books/1354141544m/2.jpg,https://images.gr-assets.com/books/1354141544s/2.jpg
22,QA76 .C5628 2006,"Beekman, George.",Tomorrow's technology and you ,Tomorrow's technology and you ,eng,3.77,https://images.gr-assets.com/books/145455554m/12232435.jpg,https://images.gr-assets.com/books/145455554s/12232435.jpg
23,QA76 .C5628 2006,"Beekman, George.",Tomorrow's technology and you ,Tomorrow's technology and you ,eng,4.37,https://images.gr-assets.com/books/1444144425m/15551.jpg,https://images.gr-assets.com/books/1444144425s/15551.jpg
24,QA76 .C58594 2011,"Conery, John S.",Explorations in computing ,Explorations in computing ,eng,4.53,https://images.gr-assets.com/books/1341452411m/4.jpg,https://images.gr-assets.com/books/1341452411s/4.jpg
25,QA76 .D285 2002,"Dale, Nell",Computer science illuminated ,Computer science illuminated ,eng,4.61,https://images.gr-assets.com/books/1444141154m/134251.jpg,https://images.gr-assets.com/books/1444141154s/134251.jpg
26,QA76 .D4 2005,Driskell Karen,Instruction solution manual to accompany basic mathematical skills with geometry ,Instruction solution manual to accompany basic mathematical skills with geometry ,eng,3.79,https://images.gr-assets.com/books/1323252444m/445.jpg,https://images.gr-assets.com/books/1323252444s/445.jpg
27,QA76 .D64 1992,"Dologite, D. G.",Using computers ,Using computers ,eng,4.54,https://images.gr-assets.com/books/134534141m/1.jpg,https://images.gr-assets.com/books/134534141s/1.jpg
28,QA76 .H217 2004,"Haag, Stephen.",Computing concepts ,Computing concepts ,eng,3.64,https://images.gr-assets.com/books/1324544424m/4424.jpg,https://images.gr-assets.com/books/1324544424s/4424.jpg
29,QA76 .J24 2002,"June, Jamrich & Dan, Oja",Computer concept new perspective,Computer concept new perspective,eng,3.73,https://images.gr-assets.com/books/1324542144m/15135.jpg,https://images.gr-assets.com/books/1324542144s/15135.jpg
30,QA76 .L56 1991,,Introducing Microsoft Windows 95,Introducing Microsoft Windows 95,eng,4.03,https://images.gr-assets.com/books/1334422131m/5442454.jpg,https://images.gr-assets.com/books/1334422131s/5442454.jpg
31,QA76 .L576 1999,"Long, Larry E.",Computers ,Computers ,eng,4.45,https://images.gr-assets.com/books/134452345m/4444224.jpg,https://images.gr-assets.com/books/134452345s/4444224.jpg
32,QA76 .M274783 1991,"Mandell, Steven L.",Introduction to computers using the IBM and MS-DOS PCs with BASIC ,Introduction to computers using the IBM and MS-DOS PCs with BASIC ,eng,3.84,https://images.gr-assets.com/books/1434235233m/542.jpg,https://images.gr-assets.com/books/1434235233s/542.jpg
33,QA76 .M53 1983," Wilson, D.R. ",Microcomputer,Microcomputer,eng,4.08,https://s.gr-assets.com/assets/nophoto/book/111x145-bcc242a4c41a24c1d452544eff422a23.png,https://s.gr-assets.com/assets/nophoto/book/52x45-a41bf244245a51aabab421ef452c4a44.png
34,QA76 .O33344 2004,"Decker, Rick.",The analytical engine ,The analytical engine ,eng,3.67,https://images.gr-assets.com/books/1355224543m/5515553.jpg,https://images.gr-assets.com/books/1355224543s/5515553.jpg
35,QA76 .O454 2005,"O'Leary, Timothy J.,",Computing essentials 2005 ,Computing essentials 2005 ,eng,3.82,https://images.gr-assets.com/books/1453412244m/545.jpg,https://images.gr-assets.com/books/1453412244s/545.jpg
36,QA76 .P27 2000,Parsons Jamrich June and Oja Dan,New Perspectives on Computer Concepts ,New Perspectives on Computer Concepts ,eng,4.12,https://images.gr-assets.com/books/1342443345m/3434.jpg,https://images.gr-assets.com/books/1342443345s/3434.jpg
37,QA76 .P27 2004,"Pearsons, Jane Jamrich",New perpectives on computer concepts ,New perpectives on computer concepts ,eng,4.19,https://images.gr-assets.com/books/1353224244m/52415.jpg,https://images.gr-assets.com/books/1353224244s/52415.jpg
38,QA76 .P27 2004,"Parsons, June Jamrich.",Computer concepts ,Computer concepts ,eng,3.95,https://images.gr-assets.com/books/1434425515m/14252.jpg,https://images.gr-assets.com/books/1434425515s/14252.jpg
39,QA76 .P278 1996,Parsons Jamrich June and Oja Dan,New Perspectives on Computer Concepts ,New Perspectives on Computer Concepts ,eng,4.45,https://images.gr-assets.com/books/1434432443m/13444.jpg,https://images.gr-assets.com/books/1434432443s/13444.jpg
40,QA76 .P278 2004,"Parsons, June Jamrich.",Computer concepts ,Computer concepts ,eng,3.51,https://images.gr-assets.com/books/1523244414m/14521.jpg,https://images.gr-assets.com/books/1523244414s/14521.jpg
41,QA76 .P3555 2007,"Parsons, June Jamrich.",Computer concepts ,Computer concepts ,eng,4.23,https://images.gr-assets.com/books/1422422424m/25154.jpg,https://images.gr-assets.com/books/1422422424s/25154.jpg
42,QA76 .P68 2001,University of Pretoria,Computer Systems fundamental Concepts,Computer Systems fundamental Concepts,en-US,4.04,https://s.gr-assets.com/assets/nophoto/book/111x145-bcc242a4c41a24c1d452544eff422a23.png,https://s.gr-assets.com/assets/nophoto/book/52x45-a41bf244245a51aabab421ef452c4a44.png
43,QA76 .S54 2008,"Gary, B. Shelly, Thomas J Cashmen: Misty E. Vermaat",Introduction to computer concepts ,Introduction to computer concepts ,eng,4.1,https://images.gr-assets.com/books/1324544244m/525.jpg,https://images.gr-assets.com/books/1324544244s/525.jpg
44,QA76 .W83,"Wu, Margaret Schlosser.",Introduction to computer data processing ,Introduction to computer data processing ,eng,4.06,https://images.gr-assets.com/books/1355435414m/15431.jpg,https://images.gr-assets.com/books/1355435414s/15431.jpg
45,QA76 A245,"Achimugu, philip",Introduction to computer and its application,Introduction to computer and its application,,3.88,https://images.gr-assets.com/books/1322542225m/4214.jpg,https://images.gr-assets.com/books/1322542225s/4214.jpg
46,QA76 A32 2002,,Active mining ,Active mining ,eng,4.07,https://images.gr-assets.com/books/1444425443m/43441.jpg,https://images.gr-assets.com/books/1444425443s/43441.jpg
47,QA76 A34 2005,"Adeyemo, Omowunmi O.",Essentials of Computer Science,Essentials of Computer Science,eng,4.36,https://images.gr-assets.com/books/1342253451m/14243.jpg,https://images.gr-assets.com/books/1342253451s/14243.jpg
48,QA76. .O44,"O'Leary, Timothy J.,",Computing essentials ,Computing essentials ,spa,3.97,https://images.gr-assets.com/books/1351443442m/4351.jpg,https://images.gr-assets.com/books/1351443442s/4351.jpg
49,QA76. 652.P47 1999,Jim Perry,The Internet,The Internet,eng,3.52,https://images.gr-assets.com/books/134534442m/44241.jpg,https://images.gr-assets.com/books/134534442s/44241.jpg
50,QA76. A34 2005,"Adeyemo, Omowunmi O.",Essentials of Computer Science,Essentials of Computer Science,eng,4.29,https://images.gr-assets.com/books/1145252445m/32114.jpg,https://images.gr-assets.com/books/1145252445s/32114.jpg
51,QA76. F81452 2008 ,"Fuller, Floyd.",Computers ,Computers ,eng,4.12,https://images.gr-assets.com/books/1432432315m/254453.jpg,https://images.gr-assets.com/books/1432432315s/254453.jpg
52,QA76.15 .C654 2004,,Concise encyclopedia of computer science ,Concise encyclopedia of computer science ,en-US,3.69,https://images.gr-assets.com/books/134535355m/425243.jpg,https://images.gr-assets.com/books/134535355s/425243.jpg
53,QA76.15 .F732 2001,"Freedman, Alan,",Computer desktop encyclopedia ,Computer desktop encyclopedia ,en-US,3.86,https://images.gr-assets.com/books/1344212552m/113434.jpg,https://images.gr-assets.com/books/1344212552s/113434.jpg
54,QA76.15 .K434 2007,"Keats, Jonathon.",Control  alt  delete ,Control  alt  delete ,en-US,4.2,https://images.gr-assets.com/books/1324454454m/11.jpg,https://images.gr-assets.com/books/1324454454s/11.jpg
55,QA76.15 .L66,Larry Long  and Nancy Long,Computers information technology in perspective,Computers information technology in perspective,eng,3.97,https://images.gr-assets.com/books/1454354544m/5124.jpg,https://images.gr-assets.com/books/1454354544s/5124.jpg
56,QA76.15 .M36 1990,"Manousos, Stephen E.",The professional look ,The professional look ,en-US,3.7,https://images.gr-assets.com/books/134534435m/1142543.jpg,https://images.gr-assets.com/books/134534435s/1142543.jpg
57,QA76.15 .S54 2008,Shelly,Introduction to Computer Concepts ,Introduction to Computer Concepts ,en-US,4.01,https://images.gr-assets.com/books/1443454532m/34435.jpg,https://images.gr-assets.com/books/1443454532s/34435.jpg
58,QA76.15 L65 2004,"Long, Larry E.",Computers ,Computers ,eng,3.8,https://images.gr-assets.com/books/1425443552m/2454.jpg,https://images.gr-assets.com/books/1425443552s/2454.jpg
59,QA76.16 .O27 1995,"O'Brien, James A.,",The nature of computers ,The nature of computers ,eng,4.15,https://images.gr-assets.com/books/1434432243m/24145.jpg,https://images.gr-assets.com/books/1434432243s/24145.jpg
60,QA76.16 .P27 2003,"Parsons, Jamrich J. & Dan Oja",Pratical PC,Pratical PC,eng,3.85,https://images.gr-assets.com/books/1444543424m/1415.jpg,https://images.gr-assets.com/books/1444543424s/1415.jpg
61,QA76.16 .S335 2004,"Schneider, G. Michael.",An invitation to computer science ,An invitation to computer science ,eng,3.88,https://images.gr-assets.com/books/1442423422m/22554242.jpg,https://images.gr-assets.com/books/1442423422s/22554242.jpg
62,QA76.16. .H67 2003,"Horne, Janet.",Quickbooks Pro 2002 ,Quickbooks Pro 2002 ,eng,3.94,https://images.gr-assets.com/books/1451241444m/114322.jpg,https://images.gr-assets.com/books/1451241444s/114322.jpg
63,QA76.162 .O44 2003,"O'Leary, Timothy J.,",Computing essentials,Computing essentials,eng,3.82,https://s.gr-assets.com/assets/nophoto/book/111x145-bcc242a4c41a24c1d452544eff422a23.png,https://s.gr-assets.com/assets/nophoto/book/52x45-a41bf244245a51aabab421ef452c4a44.png
